tmc,NORMALIZEDSTART
129-10200,1943.6857
129+04865,16014.6523
129-08591,7344.4796
129+09900,32209.4856
129+08592,7362.8302
129+06490,1827.1251
129+04826,7272.9842
129+10250,22009.9666
129-08975,22525.6298
129+08081,50459.9042
129-04841,18604.6599
129+05784,22119.8258
129+05379,29419.6335
129+05695,36864.4798
129+08518,49131.544
129+07635,8150.7207
129-08062,11504.3599
129+08719,7166.3918
129-08567,11102.0637
129+05816,9210.0277
129-04883,5978.8948
129+08979,28667.6838
129-05785,26628.2576
129+08406,19693.9878
129+08118,18567.4453
129+04823,4686.7965
129+04836,14210.1887
129-05704,58808.1119
129+08082,51197.5378
129-08215,1064.6933
129+05369,7748.6863
129-05571,1315.6228
129-06281,27409.734
129+08509,2876.1207
129-09896,37797.6332
129-09027,33224.3691
129+08450,20109.7421
129+06370,26103.3292
129-05366,1721.4972
129-08701,15902.1084
129-05698,45804.7932
129-05814,5362.0157
129-08722,7447.5719
129-08449,20325.9033
129-07618,2156.3269
129-10054,20023.9775
129-04816,18009.8612
129+08557,11574.9545
129+05386,38857.7396
129+08125,3149.6035
129-04791,12127.4472
129-10443,22182.2587
129-04832,11627.7166
129+04747,24961.9697
129-08061,7143.371
129-08459,5932.8997
129-05573,6156.4918
129-10409,1687.781
129+04873,3360.1816
129-04892,8325.9421
129+09937,3651.0834
129-08312,18755.6236
129-05538,13518.6263
129-08129,3032.8591
129-05574,10752.6895
129+04813,11521.6754
129-08473,3862.651
129+08798,20019.8537
129+08706,12915.1183
129-04867,18405.5304
129+08795,11718.8303
129+05612,5279.4786
129-04873,2954.6489
129-05321,15465.5804
129-04884,5663.1358
129-06482,17529.4685
129-08770,13886.6206
129+08987,36908.3676
129+08063,11491.26
129-05580,23424.2445
129-08973,24301.7607
129+04883,6833.3909
129-05324,19566.8891
129-09045,901.1619
129-08717,6000.7692
129-05377,25821.0058
129-05602,31560.8236
129+08635,1183.1805
129+05705,58691.9693
129-08700,17553.5775
129-10249,21998.6451
129-10210,23534.6957
129-10849,1628.2577
129+08707,10830.1997
129-08938,34906.5086
129+04788,5063.4585
129-05674,8800.746
129+05380,30658.9941
129+10218,3670.618
129+09567,1767.5972
129+08766,24129.5543
129-08844,883.0468
129-08982,32829.8361
129+08683,18121.5794
129+04795,16270.1427
129-11334,9046.8933
129-04882,6906.9101
129+08905,21940.6297
129-04891,6798.9557
129+04804,3971.8263
129+04856,19334.1094
129+08964,43136.3667
129+07609,9367.4024
129-08797,20163.0275
129-06490,3980.2468
129-10218,5410.4343
129-05680,1641.5699
129+08319,30197.8675
129+08169,16141.5778
129+08371,10459.287
129-08563,10160.7634
129+05704,56663.161
129+05608,18454.435
129+08173,3501.4565
129+10210,8884.6136
129+08175,6424.7518
129-08983,34629.123
129-08689,15840.7009
129+06367,15444.0561
129-04782,1556.7864
129+05690,27334.8082
129-08932,22809.7152
129-08989,4340.46
129+06480,578.3529
129+05698,43599.2259
129-06368,20617.6418
129+04885,5605.7988
129+08405,19575.7289
129+04749,21422.1174
129+05672,5340.011
129-08797,5338.8165
129-08430,1581.942
129-05582,25259.3763
129+08831,9694.1673
